,path id,covered nerve,uncovered nerve,covered nerve (subclasses),complete (subclasses)
76,ilxtr:sparc-nlp/prostate/26,[],['UBERON:0018675'],[],False
77,ilxtr:sparc-nlp/semves/3,[],['UBERON:0018675'],[],False
78,ilxtr:sparc-nlp/semves/7,[],['UBERON:0018675'],[],False
79,ilxtr:neuron-type-sdcol-b,[],"['UBERON:0018683', 'ILX:0785932', 'ILX:0793362', 'ILX:0793361', 'ILX:0788536']","['FMA:6924', 'FMA:6925', 'FMA:6926', 'FMA:6927', 'FMA:6928', 'FMA:6929', 'FMA:6930', 'FMA:6931', 'FMA:65919', 'FMA:65920', 'FMA:65917', 'FMA:65918']",False
80,ilxtr:sparc-nlp/femrep/31,[],"['UBERON:0018683', 'UBERON:0018681', 'UBERON:0001964']","['FMA:6924', 'FMA:6925', 'FMA:6926', 'FMA:6927', 'FMA:6928', 'FMA:6929', 'FMA:6930', 'FMA:6931', 'FMA:6959', 'FMA:6960', 'FMA:6957', 'FMA:6958']",True
81,ilxtr:sparc-nlp/femrep/32,[],"['UBERON:0018683', 'UBERON:0018681', 'UBERON:0001964']","['FMA:6924', 'FMA:6925', 'FMA:6926', 'FMA:6927', 'FMA:6928', 'FMA:6929', 'FMA:6930', 'FMA:6931', 'FMA:6959', 'FMA:6960', 'FMA:6957', 'FMA:6958']",True
82,ilxtr:sparc-nlp/femrep/33,[],"['UBERON:0018683', 'UBERON:0018681', 'UBERON:0001964']","['FMA:6924', 'FMA:6925', 'FMA:6926', 'FMA:6927', 'FMA:6928', 'FMA:6929', 'FMA:6930', 'FMA:6931', 'FMA:6959', 'FMA:6960', 'FMA:6957', 'FMA:6958']",True
83,ilxtr:sparc-nlp/femrep/34,[],"['UBERON:0018683', 'UBERON:0018679']","['FMA:6924', 'FMA:6925', 'FMA:6926', 'FMA:6927', 'FMA:6928', 'FMA:6929', 'FMA:6930', 'FMA:6931', 'FMA:6955', 'FMA:6956', 'FMA:6957', 'FMA:6958', 'FMA:6959', 'FMA:6960']",True
84,ilxtr:sparc-nlp/femrep/42,[],['UBERON:0018683'],"['FMA:6924', 'FMA:6925', 'FMA:6926', 'FMA:6927', 'FMA:6928', 'FMA:6929', 'FMA:6930', 'FMA:6931']",True
85,ilxtr:sparc-nlp/femrep/43,[],['UBERON:0018683'],"['FMA:6924', 'FMA:6925', 'FMA:6926', 'FMA:6927', 'FMA:6928', 'FMA:6929', 'FMA:6930', 'FMA:6931']",True
86,ilxtr:sparc-nlp/femrep/44,[],['UBERON:0018683'],"['FMA:6924', 'FMA:6925', 'FMA:6926', 'FMA:6927', 'FMA:6928', 'FMA:6929', 'FMA:6930', 'FMA:6931']",True
87,ilxtr:sparc-nlp/femrep/75,[],"['UBERON:0018683', 'UBERON:0018681']","['FMA:6924', 'FMA:6925', 'FMA:6926', 'FMA:6927', 'FMA:6928', 'FMA:6929', 'FMA:6930', 'FMA:6931', 'FMA:6957', 'FMA:6958']",True
88,ilxtr:sparc-nlp/kidney/146-1,[],"['UBERON:0018683', 'UBERON:0001964']","['FMA:6924', 'FMA:6925', 'FMA:6926', 'FMA:6927', 'FMA:6928', 'FMA:6929', 'FMA:6930', 'FMA:6931', 'FMA:6959', 'FMA:6960']",True
89,ilxtr:sparc-nlp/kidney/147,[],"['UBERON:0018683', 'UBERON:0001964']","['FMA:6924', 'FMA:6925', 'FMA:6926', 'FMA:6927', 'FMA:6928', 'FMA:6929', 'FMA:6930', 'FMA:6931', 'FMA:6959', 'FMA:6960']",True
90,ilxtr:sparc-nlp/kidney/148,[],['UBERON:0018683'],"['FMA:6924', 'FMA:6925', 'FMA:6926', 'FMA:6927', 'FMA:6928', 'FMA:6929', 'FMA:6930', 'FMA:6931']",True
91,ilxtr:sparc-nlp/kidney/153,[],['UBERON:0018683'],"['FMA:6924', 'FMA:6925', 'FMA:6926', 'FMA:6927', 'FMA:6928', 'FMA:6929', 'FMA:6930', 'FMA:6931']",True
92,ilxtr:sparc-nlp/kidney/154,[],['UBERON:0018683'],"['FMA:6924', 'FMA:6925', 'FMA:6926', 'FMA:6927', 'FMA:6928', 'FMA:6929', 'FMA:6930', 'FMA:6931']",True
93,ilxtr:sparc-nlp/prostate/24,[],['UBERON:0018683'],"['FMA:6924', 'FMA:6925', 'FMA:6926', 'FMA:6927', 'FMA:6928', 'FMA:6929', 'FMA:6930', 'FMA:6931']",True
94,ilxtr:neuron-type-keast-12,[],['UBERON:0011390'],"['FMA:21863', 'FMA:21864']",True
95,ilxtr:neuron-type-keast-9,[],['UBERON:0011390'],"['FMA:21863', 'FMA:21864']",True
96,ilxtr:sparc-nlp/femrep/104,[],['UBERON:0011390'],"['FMA:21863', 'FMA:21864']",True
97,ilxtr:sparc-nlp/mmset1/1,[],['UBERON:0011390'],"['FMA:21863', 'FMA:21864']",True
98,ilxtr:sparc-nlp/senmot/78,[],['UBERON:0011390'],"['FMA:21863', 'FMA:21864']",True
99,ilxtr:sparc-nlp/senmot/79,[],['UBERON:0011390'],"['FMA:21863', 'FMA:21864']",True
100,ilxtr:sparc-nlp/senmot/80,[],['UBERON:0011390'],"['FMA:21863', 'FMA:21864']",True
101,ilxtr:sparc-nlp/senmot/81,[],['UBERON:0011390'],"['FMA:21863', 'FMA:21864']",True
102,ilxtr:sparc-nlp/senmot/82,[],['UBERON:0011390'],"['FMA:21863', 'FMA:21864']",True
103,ilxtr:sparc-nlp/senmot/83,[],['UBERON:0011390'],"['FMA:21863', 'FMA:21864']",True
104,ilxtr:sparc-nlp/senmot/85,[],['UBERON:0011390'],"['FMA:21863', 'FMA:21864']",True
105,ilxtr:neuron-type-pancr-1,[],['UBERON:0018680'],"['FMA:6955', 'FMA:6956']",True
106,ilxtr:neuron-type-splen-1,[],['UBERON:0018680'],"['FMA:6955', 'FMA:6956']",True
107,ilxtr:sparc-nlp/femrep/39,[],['UBERON:0018680'],"['FMA:6955', 'FMA:6956']",True
108,ilxtr:sparc-nlp/liver/116,[],['UBERON:0018680'],"['FMA:6955', 'FMA:6956']",True
109,ilxtr:sparc-nlp/liver/118,[],['UBERON:0018680'],"['FMA:6955', 'FMA:6956']",True
110,ilxtr:sparc-nlp/liver/120,[],['UBERON:0018680'],"['FMA:6955', 'FMA:6956']",True
