,nerve id,label,covered,subclasses,subclass labels
49,ILX:0794916,white ramus communicans,False,"['FMA:6083', 'FMA:6085', 'FMA:6127', 'FMA:6132', 'FMA:6134', 'FMA:6764', 'FMA:6765', 'FMA:6766', 'FMA:6767', 'FMA:6768', 'FMA:6769', 'FMA:6770', 'FMA:6771', 'FMA:6772', 'FMA:6773', 'FMA:6774', 'FMA:6775', 'FMA:6776', 'FMA:6777', 'FMA:6778', 'FMA:6779', 'FMA:6781', 'FMA:16886', 'FMA:16887']","[['white communicating ramus of right first intercostal nerve', 'white communicating ramus of right first thoracic anterior ramus', 'white ramus communicans of right first intercostal nerve'], ['white communicating ramus of left first thoracic anterior ramus', 'white ramus communicans of left first intercostal nerve', 'white communicating ramus of left first intercostal nerve'], ['white communicating ramus of left second thoracic anterior ramus', 'white ramus communicans of left second intercostal nerve', 'white communicating ramus of left second intercostal nerve'], ['white communicating ramus of left third thoracic anterior ramus', 'white communicating ramus of left third intercostal nerve', 'white ramus communicans of left third intercostal nerve'], ['white ramus communicans of right third intercostal nerve', 'white communicating ramus of right third thoracic anterior ramus', 'white communicating ramus of right third intercostal nerve'], ['white communicating ramus of right fourth intercostal nerve', 'white communicating ramus of right fourth thoracic anterior ramus', 'white ramus communicans of right fourth intercostal nerve'], ['white ramus communicans of left fourth intercostal nerve', 'white communicating ramus of left fourth intercostal nerve', 'white communicating ramus of left fourth thoracic anterior ramus'], ['white communicating ramus of right fifth intercostal nerve', 'white ramus communicans of right fifth intercostal nerve', 'white communicating ramus of right fifth thoracic anterior ramus'], ['white ramus communicans of left fifth intercostal nerve', 'white communicating ramus of left fifth thoracic anterior ramus', 'white communicating ramus of left fifth intercostal nerve'], ['white ramus communicans of right sixth intercostal nerve', 'white communicating ramus of right sixth thoracic anterior ramus', 'white communicating ramus of right sixth intercostal nerve'], ['white communicating ramus of left sixth intercostal nerve', 'white communicating ramus of left sixth thoracic anterior ramus', 'white ramus communicans of left sixth intercostal nerve'], ['white communicating ramus of right seventh thoracic anterior ramus', 'white communicating ramus of right seventh intercostal nerve', 'white ramus communicans of right seventh intercostal nerve'], ['white communicating ramus of left seventh thoracic anterior ramus', 'white communicating ramus of left seventh intercostal nerve', 'white ramus communicans of left seventh intercostal nerve'], ['white ramus communicans of right eighth intercostal nerve', 'white communicating ramus of right eighth thoracic anterior ramus', 'white communicating ramus of right eighth intercostal nerve'], ['white communicating ramus of left eighth intercostal nerve', 'white ramus communicans of left eighth intercostal nerve', 'white communicating ramus of left eighth thoracic anterior ramus'], ['white communicating ramus of right ninth thoracic anterior ramus', 'white communicating ramus of right ninth intercostal nerve', 'white ramus communicans of right ninth intercostal nerve'], ['white ramus communicans of left ninth intercostal nerve', 'white communicating ramus of left ninth thoracic anterior ramus', 'white communicating ramus of left ninth intercostal nerve'], ['white communicating ramus of right tenth thoracic anterior ramus', 'white communicating ramus of right tenth intercostal nerve', 'white ramus communicans of right tenth intercostal nerve'], ['white communicating ramus of left tenth thoracic anterior ramus', 'white ramus communicans of left tenth intercostal nerve', 'white communicating ramus of left tenth intercostal nerve'], ['white communicating ramus of right eleventh thoracic anterior ramus', 'white communicating ramus of right eleventh intercostal nerve', 'white ramus communicans of right eleventh intercostal nerve'], ['white communicating ramus of left eleventh thoracic anterior ramus', 'white communicating ramus of left eleventh intercostal nerve', 'white ramus communicans of left eleventh intercostal nerve'], ['white ramus communicans of right second intercostal nerve', 'white communicating ramus of right second intercostal nerve', 'white communicating ramus of right second thoracic anterior ramus'], ['white communicating ramus of right second lumbar nerve', 'white ramus communicans of right second lumbar spinal nerve'], ['white communicating ramus of left second lumbar nerve', 'white ramus communicans of left second lumbar spinal nerve']]"
50,UBERON:0001964,least splanchnic nerve,False,"['FMA:6959', 'FMA:6960']","[['right least splanchnic nerve', 'right least thoracic splanchnic nerve'], ['left least splanchnic nerve', 'left least thoracic splanchnic nerve']]"
51,UBERON:0018681,lesser splanchnic nerve,False,"['FMA:6957', 'FMA:6958']","[['right lesser thoracic splanchnic nerve', 'right lesser splanchnic nerve'], ['left lesser thoracic splanchnic nerve', 'left lesser splanchnic nerve']]"
52,UBERON:0018679,thoracic splanchnic nerve,False,"['FMA:6955', 'FMA:6956', 'FMA:6957', 'FMA:6958', 'FMA:6959', 'FMA:6960']","[['left greater splanchnic nerve', 'left greater thoracic splanchnic nerve'], ['right greater thoracic splanchnic nerve', 'right greater splanchnic nerve'], ['right lesser thoracic splanchnic nerve', 'right lesser splanchnic nerve'], ['left lesser thoracic splanchnic nerve', 'left lesser splanchnic nerve'], ['right least splanchnic nerve', 'right least thoracic splanchnic nerve'], ['left least splanchnic nerve', 'left least thoracic splanchnic nerve']]"
53,ILX:0793822,superior ovarian nerve,False,[],[]
54,ILX:0794476,abdominal branch of vagus nerve,False,[],[]
55,ILX:0794853,esophageal vagus trunk,False,"['ILX:0794854', 'ILX:0794858']","['Anterior esophageal vagus trunk', 'Posterior esophageal vagus trunk']"
56,ILX:0793826,anterior abdominal vagal trunk,False,[],[]
57,ILX:0793827,posterior abdominal vagal trunk,False,[],[]
58,ILX:0793702,greater petrosal nerve,False,"['FMA:53423', 'FMA:53424']","[['right greater petrosal nerve'], ['left greater petrosal nerve']]"
