Term ID,Group name,available
FMA:6435,Left S4 spinal nerve,"['FMA:6435', 'ILX:0787791']"
FMA:66046,Left S4 spinal nerve branch to left pudendal nerve,
FMA:66000,Left S5 grey ramus communicans,
FMA:6437,Left S5 spinal nerve,"['FMA:6437', 'ILX:0788517']"
FMA:6084,Left T1 grey ramus communicans,"['FMA:6084', 'ILX:0787836']"
FMA:6039,Left T1 spinal nerve,"['FMA:6039', 'ILX:0788064']"
FMA:6071,Left T1 spinal nerve posterior ramus,"['FMA:6071', 'ILX:0785509']"
FMA:11250,Left T1 spinal nerve posterior ramus medial branch,"['FMA:11250', 'ILX:0787822']"
FMA:6085,Left T1 white ramus communicans,"['FMA:6085', 'ILX:0790177']"
FMA:6895,Left T10 grey ramus communicans,"['FMA:6895', 'ILX:0788881']"
FMA:6311,Left T10 spinal nerve,"['FMA:6311', 'ILX:0785427']"
FMA:8824,Left T10 spinal nerve posterior ramus,"['FMA:8824', 'ILX:0789719']"
FMA:11756,Left T10 spinal nerve posterior ramus lateral branch,"['FMA:11756', 'ILX:0785316']"
FMA:6777,Left T10 white ramus communicans,"['FMA:6777', 'ILX:0790059']"
FMA:6897,Left T11 grey ramus communicans,"['FMA:6897', 'ILX:0785012']"
FMA:6314,Left T11 spinal nerve,"['FMA:6314', 'ILX:0789848']"
FMA:8827,Left T11 spinal nerve posterior ramus,"['FMA:8827', 'ILX:0790669']"
FMA:11758,Left T11 spinal nerve posterior ramus lateral branch,"['FMA:11758', 'ILX:0788642']"
FMA:6779,Left T11 white ramus communicans,"['FMA:6779', 'ILX:0785203']"
FMA:11788,Left T12 grey ramus communicans,
FMA:6183,Left T12 spinal nerve,"['FMA:6183', 'ILX:0790834']"
FMA:8830,Left T12 spinal nerve posterior ramus,"['FMA:8830', 'ILX:0792652']"
FMA:11760,Left T12 spinal nerve posterior ramus lateral branch,"['FMA:11760', 'ILX:0789235']"
FMA:11789,Left T12 white ramus communicans,
FMA:6757,Left T2 grey ramus communicans,"['FMA:6757', 'ILX:0788878']"
FMA:6089,Left T2 spinal nerve,"['FMA:6089', 'ILX:0789698']"
FMA:6090,Left T2 spinal nerve posterior ramus,"['FMA:6090', 'ILX:0792142']"
FMA:11253,Left T2 spinal nerve posterior ramus medial branch,"['FMA:11253', 'ILX:0785962']"
FMA:6127,Left T2 white ramus communicans,"['FMA:6127', 'ILX:0792582']"
FMA:6133,Left T3 grey ramus communicans,"['FMA:6133', 'ILX:0786284']"
FMA:6117,Left T3 spinal nerve,"['FMA:6117', 'ILX:0791381']"
FMA:6145,Left T3 spinal nerve posterior ramus,"['FMA:6145', 'ILX:0786756']"
FMA:11039,Left T3 spinal nerve posterior ramus medial branch,"['FMA:11039', 'ILX:0790085']"
FMA:6132,Left T3 white ramus communicans,"['FMA:6132', 'ILX:0786149']"
FMA:6758,Left T4 grey ramus communicans,"['FMA:6758', 'ILX:0787027']"
FMA:6292,Left T4 spinal nerve,"['FMA:6292', 'ILX:0791893']"
FMA:6792,Left T4 spinal nerve posterior ramus,"['FMA:6792', 'ILX:0790204']"
FMA:11092,Left T4 spinal nerve posterior ramus medial branch,"['FMA:11092', 'ILX:0784410']"
FMA:6765,Left T4 white ramus communicans,"['FMA:6765', 'ILX:0784975']"
FMA:6760,Left T5 grey ramus communicans,"['FMA:6760', 'ILX:0785586']"
FMA:6295,Left T5 spinal nerve,"['FMA:6295', 'ILX:0792079']"
FMA:8808,Left T5 spinal nerve posterior ramus,"['FMA:8808', 'ILX:0784744']"
FMA:11154,Left T5 spinal nerve posterior ramus medial branch,"['FMA:11154', 'ILX:0791683']"
FMA:6767,Left T5 white ramus communicans,"['FMA:6767', 'ILX:0784717']"
FMA:6763,Left T6 grey ramus communicans,"['FMA:6763', 'ILX:0785908']"
FMA:6298,Left T6 spinal nerve,"['FMA:6298', 'ILX:0792687']"
FMA:8812,Left T6 spinal nerve posterior ramus,"['FMA:8812', 'ILX:0791294']"
FMA:11262,Left T6 spinal nerve posterior ramus medial branch,"['FMA:11262', 'ILX:0786423']"
FMA:6769,Left T6 white ramus communicans,"['FMA:6769', 'ILX:0784809']"
FMA:6889,Left T7 grey ramus communicans,"['FMA:6889', 'ILX:0784546']"
FMA:6301,Left T7 spinal nerve,"['FMA:6301', 'ILX:0787961']"
FMA:8815,Left T7 spinal nerve posterior ramus,"['FMA:8815', 'ILX:0791051']"
FMA:11687,Left T7 spinal nerve posterior ramus lateral branch,"['FMA:11687', 'ILX:0784611']"
FMA:6771,Left T7 white ramus communicans,"['FMA:6771', 'ILX:0789195']"
FMA:6891,Left T8 grey ramus communicans,"['FMA:6891', 'ILX:0792485']"
FMA:6305,Left T8 spinal nerve,"['FMA:6305', 'ILX:0788490']"
FMA:8818,Left T8 spinal nerve posterior ramus,"['FMA:8818', 'ILX:0791921']"
FMA:11752,Left T8 spinal nerve posterior ramus lateral branch,"['FMA:11752', 'ILX:0791289']"
FMA:6773,Left T8 white ramus communicans,"['FMA:6773', 'ILX:0789865']"
FMA:6893,Left T9 grey ramus communicans,"['FMA:6893', 'ILX:0787311']"
FMA:6308,Left T9 spinal nerve,"['FMA:6308', 'ILX:0788523']"
FMA:8821,Left T9 spinal nerve posterior ramus,"['FMA:8821', 'ILX:0791392']"
FMA:11754,Left T9 spinal nerve posterior ramus lateral branch,"['FMA:11754', 'ILX:0787872']"
FMA:6775,Left T9 white ramus communicans,"['FMA:6775', 'ILX:0786234']"
FMA:50899,Left accessory nerve,"['FMA:50899', 'ILX:0787864']"
FMA:6218,Left accessory phrenic nerve,
FMA:55144,,['ILX:0794578']
FMA:53063,Left anterior division of mandibular nerve,
FMA:52677,Left anterior ethmoidal nerve,
FMA:45254,Left anterior femoral cutaneous branch A,
FMA:65326,Left anterior interosseous nerve,
FMA:52942,Left anterior superior alveolar nerve,
FMA:78650,Left anterior supraclavicular nerve,
FMA:53002,Left auriculotemporal nerve,
FMA:37074,Left axillary nerve,
FMA:81288,Left axillary nerve anterior branch,
FMA:81290,Left axillary nerve posterior branch,
FMA:53068,Left buccal nerve,
FMA:0328831,Left caroticotympanic nerve,
FMA:53509,Left carotid sinus nerve,"['FMA:53509', 'ILX:0792731']"
FMA:6439,Left coccygeal spinal nerve,"['FMA:6439', 'ILX:0786807']"
FMA:53433,Left cochlear nerve,"['FMA:53433', 'ILX:0788705']"
FMA:45358,Left common fibular nerve,"['FMA:45358', 'ILX:0784912']"
FMA:44893,Left common palmar digital nerve A,
FMA:44735,Left common plantar digital nerve E,
FMA:44770,Left common plantar digital nerve F,
FMA:52674,Left communicating branch of nasociliary nerve with ciliary ganglion,
FMA:45388,Left deep fibular nerve,
FMA:0328827,Left deep petrosal nerve,
FMA:21880,Left dorsal nerve of penis,
FMA:6739,Left eighth intercostal nerve,"['FMA:6739', 'ILX:0791128']"
FMA:6745,Left eleventh intercostal nerve,"['FMA:6745', 'ILX:0786143']"
FMA:53538,Left external laryngeal nerve,
FMA:53568,Left external laryngeal nerve branch to inferior pharyngeal constrictor,"['FMA:53568', 'ILX:0789550']"
FMA:53570,Left external laryngeal nerve branch to pharyngeal plexus,"['FMA:53570', 'ILX:0790963']"
FMA:50889,Left facial nerve,"['FMA:50889', 'ILX:0792123']"
FMA:20635,Left femoral branch of genitofemoral nerve,
FMA:16500,Left femoral nerve,
FMA:6731,Left fifth intercostal nerve,"['FMA:6731', 'ILX:0785767']"
FMA:6072,Left first intercostal nerve,"['FMA:6072', 'ILX:0788357']"
FMA:6925,Left first lumbar splanchnic nerve,
FMA:6729,Left fourth intercostal nerve,"['FMA:6729', 'ILX:0789275']"
FMA:6931,Left fourth lumbar splanchnic nerve,
FMA:52640,Left frontal nerve,
FMA:20633,Left genital branch of genitofemoral nerve,
FMA:20631,Left genitofemoral nerve,
FMA:50894,,"['FMA:50894', 'ILX:0789473']"
FMA:55156,,['ILX:0794584']
FMA:55158,Left great auricular nerve anterior branch,
FMA:55160,Left great auricular nerve posterior branch,
FMA:6835,Left greater occipital nerve,"['FMA:6835', 'ILX:0784626']"
FMA:52804,Left greater palatine nerve,
FMA:53424,Left greater petrosal nerve,"['FMA:53424', 'ILX:0786547']"
FMA:6955,Left greater splanchnic nerve,
FMA:20605,Left hypogastric nerve,
FMA:16492,Left iliohypogastric nerve,
FMA:16494,Left ilioinguinal nerve,
FMA:276381,Left incisive branch of inferior alveolar nerve,
FMA:53245,Left inferior alveolar nerve,
FMA:44953,Left inferior lateral cutaneous nerve of arm,
FMA:52988,Left inferior palpebral branch of infraorbital nerve,
FMA:21872,Left inferior rectal nerve,
FMA:52980,Left infraorbital nerve,
FMA:52699,Left infratrochlear nerve,
FMA:6121,Left intercostobrachial nerve,
FMA:45368,Left intermediate dorsal cutaneous nerve,
FMA:53540,Left internal laryngeal nerve,
FMA:52630,Left lacrimal nerve,
FMA:53548,Left laryngopharyngeal branch of superior cervical ganglion,
FMA:45429,Left lateral calcaneal branch A of left sural nerve,
FMA:39084,Left lateral cutaneous nerve of forearm,
FMA:45427,Left lateral dorsal cutaneous nerve,
FMA:45380,Left lateral dorsal digital nerve of the third toe,
FMA:16498,Left lateral femoral cutaneous nerve,
FMA:45451,Left lateral plantar nerve,
FMA:45362,Left lateral sural cutaneous nerve,
FMA:6960,Left least splanchnic nerve,
FMA:65389,Left lesser occipital nerve,
FMA:52807,Left lesser palatine nerve,
FMA:53503,Left lesser petrosal nerve,"['FMA:53503', 'ILX:0791855']"
FMA:6958,Left lesser splanchnic nerve,
FMA:53505,Left lingual branch of glossopharyngeal nerve,
FMA:53220,Left lingual nerve,
FMA:82735,Left long ciliary nerve A,
FMA:52701,Left long ciliary nerve B,
FMA:65282,Left long thoracic nerve,
FMA:65537,Left lumbosacral trunk,
FMA:52998,Left mandibular nerve,"['FMA:52998', 'ILX:0788473']"
FMA:52726,Left maxillary nerve,"['FMA:52726', 'ILX:0789106']"
FMA:65248,Left medial cutaneous nerve of arm,
FMA:39082,Left medial cutaneous nerve of forearm,
FMA:45366,Left medial dorsal cutaneous nerve,
FMA:45382,Left medial dorsal digital nerve of the fourth toe,
FMA:45435,Left medial plantar nerve,
FMA:52787,Left medial posterior superior nasal nerve,
FMA:45423,Left medial sural cutaneous nerve,
FMA:37068,Left median nerve,
FMA:53049,Left meningeal branch of mandibular nerve,
FMA:53252,Left mental nerve,
FMA:52730,Left middle meningeal nerve,
FMA:52940,Left middle superior alveolar nerve,
FMA:78653,Left middle supraclavicular nerve,
FMA:37066,Left musculocutaneous nerve,
FMA:52670,Left nasociliary nerve,
FMA:52799,Left nasopalatine nerve,
FMA:6741,Left ninth intercostal nerve,"['FMA:6741', 'ILX:0789279']"
FMA:16502,Left obturator nerve,
FMA:50880,Left oculomotor nerve,"['FMA:50880', 'ILX:0790283']"
FMA:52593,Left olfactory nerve,
FMA:52623,Left ophthalmic nerve,"['FMA:52623', 'ILX:0791564']"
FMA:50878,Left optic nerve,
FMA:21874,Left perineal nerve,
FMA:6193,Left phrenic nerve,
FMA:53280,Left posterior auricular nerve,"['FMA:53280', 'ILX:0793040']"
FMA:44951,Left posterior cutaneous nerve of arm,
FMA:39147,Left posterior cutaneous nerve of forearm,
FMA:53065,Left posterior division of mandibular nerve,
FMA:52716,Left posterior ethmoidal nerve,
FMA:45339,Left posterior femoral cutaneous nerve,
FMA:65336,Left posterior interosseous nerve,
FMA:21876,Left posterior scrotal nerve,
FMA:52937,Left posterior superior alveolar nerve,
FMA:52784,Left posterior superior lateral nasal branch of maxillary nerve,
FMA:78656,Left posterior supraclavicular nerve,
FMA:44899,Left proper palmar digital nerve A,
FMA:44905,Left proper palmar digital nerve B,
FMA:44902,Left proper palmar digital nerve C,
FMA:44871,Left proper palmar digital nerve D,
FMA:65348,Left proper palmar digital nerve E,
FMA:65346,Left proper palmar digital nerve F,
FMA:65344,Left proper palmar digital nerve G,
FMA:65342,Left proper palmar digital nerve H,
FMA:65340,Left proper palmar digital nerve I,
FMA:65338,Left proper palmar digital nerve J,
FMA:82953,Left proper plantar digital nerve A,
FMA:82955,Left proper plantar digital nerve B,
FMA:82957,Left proper plantar digital nerve C,
FMA:82959,Left proper plantar digital nerve D,
FMA:82961,Left proper plantar digital nerve E,
FMA:82963,Left proper plantar digital nerve F,
FMA:80026,Left proper plantar digital nerve G,
FMA:45453,Left proper plantar digital nerve H,
FMA:45455,Left proper plantar digital nerve I,
FMA:45457,Left proper plantar digital nerve J,
FMA:21864,Left pudendal nerve,"['FMA:21864', 'ILX:0791486']"
FMA:37071,Left radial nerve,
FMA:45264,Left saphenous nerve,
FMA:22112,Left sciatic nerve,"['FMA:22112', 'ILX:0787971']"
FMA:6093,Left second intercostal nerve,"['FMA:6093', 'ILX:0784983']"
